2000 29685332 13993464 26168425 13993464
2064 31626110 14902322 27881771 14902322
2128 33605615 15841454 29624225 15841454
2192 35668619 16807558 31445473 16807558
2256 37768979 17803993 33294306 17803993
2320 39954301 18827375 35223548 18827375
2384 42175578 19881194 37178822 19881194
2448 44483062 20961799 39215902 20961799
2512 46825284 22072968 41277645 22072968
2576 49255029 23210791 43422662 23210791
2640 51718099 24379335 45590777 24379335
2704 54270132 25574415 47843758 25574415
2768 56854095 26800313 50118290 26800313
2832 59528372 28052630 52479191 28052630
2896 62233156 29335820 54860068 29335820
2960 65029743 30645432 57328955 30645432
3024 67855409 31985978 59816238 31985978
