2000 5462853 841075 1527829 841075
2064 5834963 894624 1639347 894624
2128 6221090 949713 1761190 949713
2192 6578167 1006678 1845889 1006678
2256 6953996 1065236 1941276 1065236
2320 7432336 1125112 2131122 1125112
2384 7822254 1187058 2224436 1187058
2448 8258607 1269916 2358561 1269916
2512 8729605 1335579 2516768 1335579
2576 9192647 1402867 2659058 1402867
2640 9625601 1471821 2763250 1471821
2704 10068688 1542527 2869430 1542527
2768 10521639 1614929 2977418 1614929
2832 10984517 1688900 3087301 1688900
2896 11457299 1764583 3198954 1764583
2960 11986984 1841711 3359475 1841711
3024 12480873 1920763 3476123 1920763
