2000 19221928 5374667 15466573 5374667
2064 20519367 5723148 16519543 5723148
2128 21791227 6083695 17539083 6083695
2192 23092981 6455273 18583007 6455273
2256 24461460 6837970 19683414 6837970
2320 25922429 7230359 20869123 7230359
2384 27349674 7634941 22013237 7634941
2448 28805785 8050550 23180967 8050550
2512 30331986 8477306 24408241 8477306
2576 31956466 8913565 25726670 8913565
2640 33539083 9362200 26995345 9362200
2704 35149606 9821837 28286936 9821837
2768 36833445 10292648 29640993 10292648
2832 38621517 10772816 31092223 10772816
2896 40359456 11265459 32485409 11265459
2960 42124399 11769154 33900869 11769154
3024 43965886 12283986 35381719 12283986
